DATE_DEBUT;DATE_FIN;P_SOUSCRITE;PART_FIXE_MOIS_TTC;PART_FIXE_TTC;PART_VARIABLE_HCBleu_TTC;PART_VARIABLE_HPBleu_TTC;PART_VARIABLE_HCBlanc_TTC;PART_VARIABLE_HPBlanc_TTC;PART_VARIABLE_HCRouge_TTC;PART_VARIABLE_HPRouge_TTC
01/08/2015;31/01/2016;9;10,94;131,28;0,0967;0,1147;0,1336;0,1585;0,2402;0,6208
01/08/2015;31/01/2016;12;17,53;210,36;0,0967;0,1147;0,1336;0,1585;0,2402;0,6208
01/08/2015;31/01/2016;15;20,29;243,48;0,0967;0,1147;0,1336;0,1585;0,2402;0,6208
01/08/2015;31/01/2016;18;22,26;267,12;0,0967;0,1147;0,1336;0,1585;0,2402;0,6208
01/08/2015;31/01/2016;24;53,81;645,72;0,0967;0,1147;0,1336;0,1585;0,2402;0,6208
01/08/2015;31/01/2016;30;55,64;667,68;0,0967;0,1147;0,1336;0,1585;0,2402;0,6208
01/08/2015;31/01/2016;36;68,3;819,6;0,0967;0,1147;0,1336;0,1585;0,2402;0,6208
01/08/2016;31/07/2017;9;;;0,1075;0,1278;0,14;0,1674;0,2161;0,5216
01/08/2016;31/07/2017;12;;;0,1075;0,1278;0,14;0,1674;0,2161;0,5216
01/08/2016;31/07/2017;15;;;0,1075;0,1278;0,14;0,1674;0,2161;0,5216
01/08/2016;31/07/2017;18;;;0,1075;0,1278;0,14;0,1674;0,2161;0,5216
01/08/2016;31/07/2017;30;;;0,1075;0,1278;0,14;0,1674;0,2161;0,5216
01/08/2016;31/07/2017;36;;;0,1075;0,1278;0,14;0,1674;0,2161;0,5216
01/08/2017;31/01/2018;9;;;0,1115;0,133;0,135;0,1634;0,1752;0,5497
01/08/2017;31/01/2018;12;;;0,1115;0,133;0,135;0,1634;0,1752;0,5497
01/08/2017;31/01/2018;15;;;0,1115;0,133;0,135;0,1634;0,1752;0,5497
01/08/2017;31/01/2018;18;;;0,1115;0,133;0,135;0,1634;0,1752;0,5497
01/08/2017;31/01/2018;30;;;0,1115;0,133;0,135;0,1634;0,1752;0,5497
01/08/2017;31/01/2018;36;;;0,1115;0,133;0,135;0,1634;0,1752;0,5497
01/02/2018;31/07/2018;9;;;0,1112;0,1326;0,1346;0,1628;0,1746;0,5482
01/02/2018;31/07/2018;12;;;0,1112;0,1326;0,1346;0,1628;0,1746;0,5482
01/02/2018;31/07/2018;15;;;0,1112;0,1326;0,1346;0,1628;0,1746;0,5482
01/02/2018;31/07/2018;18;;;0,1112;0,1326;0,1346;0,1628;0,1746;0,5482
01/02/2018;31/07/2018;30;;;0,1112;0,1326;0,1346;0,1628;0,1746;0,5482
01/02/2018;31/07/2018;36;;;0,1112;0,1326;0,1346;0,1628;0,1746;0,5482
01/08/2018;31/05/2019;9;;;0,1104;0,1329;0,1255;0,1558;0,1323;0,5413
01/08/2018;31/05/2019;12;;;0,1104;0,1329;0,1255;0,1558;0,1323;0,5413
01/08/2018;31/05/2019;15;;;0,1104;0,1329;0,1255;0,1558;0,1323;0,5413
01/08/2018;31/05/2019;18;;;0,1104;0,1329;0,1255;0,1558;0,1323;0,5413
01/08/2018;31/05/2019;30;;;0,1104;0,1329;0,1255;0,1558;0,1323;0,5413
01/08/2018;31/05/2019;36;;;0,1104;0,1329;0,1255;0,1558;0,1323;0,5413
01/06/2019;31/07/2019;9;;;0,12;0,14436;0,1272;0,1601;0,1355;0,6095
01/06/2019;31/07/2019;12;;;0,12;0,14436;0,1272;0,1601;0,1355;0,6095
01/06/2019;31/07/2019;15;;;0,12;0,14436;0,1272;0,1601;0,1355;0,6095
01/06/2019;31/07/2019;18;;;0,12;0,14436;0,1272;0,1601;0,1355;0,6095
01/06/2019;31/07/2019;30;;;0,12;0,14436;0,1272;0,1601;0,1355;0,6095
01/06/2019;31/07/2019;36;;;0,12;0,14436;0,1272;0,1601;0,1355;0,6095
01/08/2019;31/01/2020;9;;;0,1214;0,146;0,1287;0,1619;0,137;0,6182
01/08/2019;31/01/2020;12;;;0,1214;0,146;0,1287;0,1619;0,137;0,6182
01/08/2019;31/01/2020;15;;;0,1214;0,146;0,1287;0,1619;0,137;0,6182
01/08/2019;31/01/2020;18;;;0,1214;0,146;0,1287;0,1619;0,137;0,6182
01/08/2019;31/01/2020;30;;;0,1214;0,146;0,1287;0,1619;0,137;0,6182
01/08/2019;31/01/2020;36;;;0,1214;0,146;0,1287;0,1619;0,137;0,6182
01/02/2020;31/07/2020;9;;;0,1242;0,1531;0,1392;0,1738;0,1488;0,6371
01/02/2020;31/07/2020;12;;;0,1242;0,1531;0,1392;0,1738;0,1488;0,6371
01/02/2020;31/07/2020;15;;;0,1242;0,1531;0,1392;0,1738;0,1488;0,6371
01/02/2020;31/07/2020;18;;;0,1242;0,1531;0,1392;0,1738;0,1488;0,6371
01/02/2020;31/07/2020;30;;;0,1242;0,1531;0,1392;0,1738;0,1488;0,6371
01/02/2020;31/07/2020;36;;;0,1242;0,1531;0,1392;0,1738;0,1488;0,6371
01/08/2020;31/01/2021;9;14,13;169,56;0,12458;0,15482;0,1397;0,1757;0,14906;0,6389
01/08/2020;31/01/2021;12;16,66;199,92;0,12458;0,15482;0,1397;0,1757;0,14906;0,6389
01/08/2020;31/01/2021;15;17,97;215,64;0,12458;0,15482;0,1397;0,1757;0,14906;0,6389
01/08/2020;31/01/2021;18;19,82;237,84;0,12458;0,15482;0,1397;0,1757;0,14906;0,6389
01/08/2020;31/01/2021;24;27,9;334,8;0,12458;0,15482;0,1397;0,1757;0,14906;0,6389
01/08/2020;31/01/2021;30;28,76;345,12;0,12458;0,15482;0,1397;0,1757;0,14906;0,6389
01/08/2020;31/01/2021;36;33;396;0,12458;0,15482;0,1397;0,1757;0,14906;0,6389
01/02/2021;31/07/2021;9;;;0,123;0,1515;0,1404;0,1782;0,1499;0,6275
01/02/2021;31/07/2021;12;;;0,123;0,1515;0,1404;0,1782;0,1499;0,6275
01/02/2021;31/07/2021;15;;;0,123;0,1515;0,1404;0,1782;0,1499;0,6275
01/02/2021;31/07/2021;18;;;0,123;0,1515;0,1404;0,1782;0,1499;0,6275
01/02/2021;31/07/2021;30;;;0,123;0,1515;0,1404;0,1782;0,1499;0,6275
01/02/2021;31/07/2021;36;;;0,123;0,1515;0,1404;0,1782;0,1499;0,6275
01/08/2021;31/01/2022;9;15,25;183;0,12305;0,14981;0,14117;0,17729;0,15089;0,62741
01/08/2021;31/01/2022;12;18,4;220,8;0,12305;0,14981;0,14117;0,17729;0,15089;0,62741
01/08/2021;31/01/2022;15;20,75;249;0,12305;0,14981;0,14117;0,17729;0,15089;0,62741
01/08/2021;31/01/2022;18;23,43;281,16;0,12305;0,14981;0,14117;0,17729;0,15089;0,62741
01/08/2021;31/01/2022;24;34,28;411,36;0,12305;0,14981;0,14117;0,17729;0,15089;0,62741
01/08/2021;31/01/2022;30;35,26;423,12;0,12305;0,14981;0,14117;0,17729;0,15089;0,62741
01/08/2021;31/01/2022;36;41,28;495,36;0,12305;0,14981;0,14117;0,17729;0,15089;0,62741
01/02/2022;31/07/2022;9;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/02/2022;31/07/2022;12;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/02/2022;31/07/2022;15;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/02/2022;31/07/2022;18;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/02/2022;31/07/2022;30;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/02/2022;31/07/2022;36;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/08/2022;31/01/2023;9;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/08/2022;31/01/2023;12;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/08/2022;31/01/2023;15;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/08/2022;31/01/2023;18;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/08/2022;31/01/2023;30;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/08/2022;31/01/2023;36;;;0,0902;0,1312;0,1151;0,1692;0,1262;0,5525
01/02/2023;31/07/2023;9;;;0,097;0,1249;0,114;0,1508;0,1216;0,6712
01/02/2023;31/07/2023;12;;;0,097;0,1249;0,114;0,1508;0,1216;0,6712
01/02/2023;31/07/2023;15;;;0,097;0,1249;0,114;0,1508;0,1216;0,6712
01/02/2023;31/07/2023;18;;;0,097;0,1249;0,114;0,1508;0,1216;0,6712
01/02/2023;31/07/2023;30;;;0,097;0,1249;0,114;0,1508;0,1216;0,6712
01/02/2023;31/07/2023;36;;;0,097;0,1249;0,114;0,1508;0,1216;0,6712
01/08/2023;31/01/2024;9;;;0,1056;0,1369;0,1246;0,1654;0,1328;0,7324
01/08/2023;31/01/2024;12;;;0,1056;0,1369;0,1246;0,1654;0,1328;0,7324
01/08/2023;31/01/2024;15;;;0,1056;0,1369;0,1246;0,1654;0,1328;0,7324
01/08/2023;31/01/2024;18;;;0,1056;0,1369;0,1246;0,1654;0,1328;0,7324
01/08/2023;31/01/2024;30;;;0,1056;0,1369;0,1246;0,1654;0,1328;0,7324
01/08/2023;31/01/2024;36;;;0,1056;0,1369;0,1246;0,1654;0,1328;0,7324
01/02/2024;31/01/2025;6;13,33;159,96;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2024;31/01/2025;9;16,72;200,64;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2024;31/01/2025;12;20,19;242,28;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2024;31/01/2025;15;23,39;280,68;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2024;31/01/2025;18;26,57;318,84;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2024;31/01/2025;24;38,75;465;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2024;31/01/2025;30;40,16;481,92;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2024;31/01/2025;36;46,67;560,04;0,1296;0,16092;0,14856;0,18936;0,15684;0,75624
01/02/2025;31/07/2025;6;14,4;172,8;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/02/2025;31/07/2025;9;18,09;217,08;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/02/2025;31/07/2025;12;21,82;261,84;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/02/2025;31/07/2025;15;25,3;303,6;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/02/2025;31/07/2025;18;28,79;345,48;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/02/2025;31/07/2025;24;41,82;501,84;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/02/2025;31/07/2025;30;43,42;521,04;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/02/2025;31/07/2025;36;51,03;612,36;0,12876;0,15516;0,14472;0,17916;0,1518;0,65856
01/08/2025;31/01/2026;6;15,95;191,4;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/08/2025;31/01/2026;9;20,16;241,92;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/08/2025;31/01/2026;12;24,27;291,24;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/08/2025;31/01/2026;15;28,12;337,44;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/08/2025;31/01/2026;18;32,12;385,44;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/08/2025;31/01/2026;24;46,76;561,12;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/08/2025;31/01/2026;30;48,53;582,36;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/08/2025;31/01/2026;36;57,1;685,2;0,12322;0,14938;0,13906;0,17302;0,14602;0,64678
01/02/2026;;6;15,9;190,8;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
01/02/2026;;9;19,84;238,08;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
01/02/2026;;12;23,67;284,04;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
01/02/2026;;15;27,23;326,76;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
01/02/2026;;18;30,95;371,4;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
01/02/2026;;24;45,04;540,48;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
01/02/2026;;30;46,25;555;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
01/02/2026;;36;54,25;651;0,13254;0,16122;0,14994;0,18714;0,1575;0,70602
